chain_id,validator_name,validator_address,target_weight
osmosis-1,Chiter in Cosmos ⚛,osmovaloper1lmxrexaxuc7ealq4wqdgzrczajhhrenrdlhxha,254
osmosis-1,bitszn | valopers.com,osmovaloper18kxyn3dpmwnmctzkgckfcgp7a4nzss0lq2qpk9,182
osmosis-1,0base.vc,osmovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4d3kvts,140
osmosis-1,Oldcat,osmovaloper1m73mgwn3cm2e8x9a9axa0kw8nqz8a492vg4hp4,115
osmosis-1,Tessellated,osmovaloper1n56swda49evz92zhcw2xc8esx6kzt8qm62hkep,108
osmosis-1,Bro_n_Bro,osmovaloper13tk45jkxgf7w0nxquup3suwaz2tx483xe832ge,82
osmosis-1,Xilodyne,osmovaloper1rtlg9jnlezwg83eep5zu25sfxndgud5aeqjld4,34
osmosis-1,Haan Node,osmovaloper1hqqzynrdqxzky82mw92ugwsrry0ntrse84g5nr,20
phoenix-1,polkachu.com,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh,801
phoenix-1,cosmosrescue,terravaloper1htey4gcdcass29vn4dwjcuq58mrvv8ra5pjz4k,635
phoenix-1,HighStakes.ch | Stake for Airdrop,terravaloper1pgyelqv0hwjavgf6vhdm4e4pt766wfxxczu20l,555
phoenix-1,Terrascope,terravaloper1jt8pcx4sesgztjkjsvjjqtvyfgcehqx09u4exq,539
phoenix-1,Lavender.Five Nodes 🐝,terravaloper1vcd42qfvlvnjwaw7hvl6y32wrzqxvas653yus9,539
phoenix-1,Synergy Nodes,terravaloper1tm0xkark2ufecmdhgaaw7gqsycyt4qag6py8x6,498
phoenix-1,BackBone Labs | Delegate for $SOUL Claim Drop,terravaloper1wr0p7dzss74wfmzfqm8r65mk26efg5zhzpm77s,431
phoenix-1,01node,terravaloper1wdymftapg5pcvf2aqw4pd0yuuh5w9m6yqdnukv,423
phoenix-1,Active Nodes,terravaloper1a9zv7n6pmkzlm3wj6c23qyejqlmyxsl5faanrv,422
phoenix-1,Stakin by The Tie,terravaloper1mgpgp53tynj4djmckxdjhufa7q8lqqjuwnrlqm,408
phoenix-1,SOLID,terravaloper1cqc26lnatzxvu0z5nd4yx8m4ecllkm7jlakwrw,367
phoenix-1,WildSage 🧙,terravaloper1l920a79akuc98hz4389axf9ctcymrf5ays578x,365
phoenix-1,SCV-Security,terravaloper10c04ysz9uznx2mkenuk3j3esjczyqh0j783nzt,360
phoenix-1,Pro-Nodes75,terravaloper1puzp2yjqps43x7nse33svljc550xjz35jxg432,355
phoenix-1,Ceres Ventures,terravaloper1q8w4u2wyhx574m70gwe8km5za2ptanny9mnqy3,329
phoenix-1,0base.vc,terravaloper1plxp55happ379eevsnk2xeuwzsrldsmqduyu36,320
phoenix-1,TdrSys | Auto-Compound,terravaloper1cs0dspacdhym4cwcm3f7suurfszvl6k5s9p06a,287
phoenix-1,Centauri Alpha,terravaloper1fs8g3mlg3f4f4yrckvwk7dk4lt3nv4gtx2uqwj,238
phoenix-1,Core Dev (Engineering@Terra),terravaloper14rftkw37eltf74degzajq4s5phg23vjlu9h9as,192
phoenix-1,Coinage x DAIC,terravaloper17kh8ngu3s74epwympaxrp4ukahm5rvtf5zc8ma,186
phoenix-1,Orion - Auto-Compound,terravaloper1dvl464gpzxwru4a97q6pzqv7n7rcnxwlyspnau,185
phoenix-1,Node39.TOP,terravaloper1l63t9c0nruewg5zdrmv8pvcxdg0az6fqgg008k,175
phoenix-1,owlstake,terravaloper1lg8zwpjvyx4pqy0j5ue2kf08edkuwy6l0j7f0h,175
phoenix-1,Burrito Node,terravaloper16x9dcx9pm9j8ykl0td4hptwule706ysjel6500,169
phoenix-1,NFTSwitch.xyz | Delegate for $SOUL Claim Drop,terravaloper1vrkzjujfds9p8t5g0xety3e3ft4dep02etv9le,164
phoenix-1,Interstellar 🍸,terravaloper1kepapcnh78hsk8nx2u9nv05rn7vjwwf4fr59zu,162
phoenix-1,Secure Secrets,terravaloper1wzu2j73nvccghywtghku5ch59f67jykw58na64,138
